# 점수 계산 기준: PR_fb*3, PR_doc*2, PR_typo*1, IS_fb*2, IS_doc*1
User,f/b_PR,doc_PR,typo,f/b_issue,doc_issue,PR_rate,IS_rate,total
joon0447,19,3,1,24,6,10.4,12.7,118
Jae-Hyuk-Lee,10,2,0,20,3,5.4,9.7,77
Jass2345,14,4,0,8,4,8.1,5.1,70
KohSeungJae,14,0,0,12,1,6.3,5.5,67
MING9UCCI,13,3,0,11,0,7.2,4.7,67
jungsuryeon,8,3,0,16,3,5.0,8.1,65
Sernn0,7,9,0,10,3,7.2,5.5,62
Bluewak,12,1,0,7,2,5.9,3.8,54
jaewon786,6,3,3,6,1,5.4,3.0,40
JosephStalin0305,5,1,0,9,4,2.7,5.5,39
isDohyeon,9,0,0,4,2,4.1,2.5,37
bym010312,3,6,1,6,2,4.5,3.4,36
hyn033,8,0,0,4,0,3.6,1.7,32
seoyoomi,3,2,0,7,5,2.3,5.1,32
sungh00,3,4,1,1,9,3.6,4.2,29
kjason0102,5,1,0,2,2,2.7,1.7,23
sangmyoung0,4,0,0,5,0,1.8,2.1,22
taegeon1ee,5,0,0,2,0,2.3,0.8,19
porvs,2,2,0,4,1,1.8,2.1,19
hyunsang1021,3,0,0,3,2,1.4,2.1,17
jinho131,1,0,0,5,1,0.5,2.5,11
how-to-song,2,1,0,1,0,1.4,0.4,10
moongyeong000,3,0,0,0,0,1.4,0.0,9
StaySober01,2,0,0,1,0,0.9,0.4,8
eunwoooo,0,1,0,1,2,0.5,1.3,6
SongHyunWoo123,1,1,0,0,1,0.9,0.4,6
sanghoon03,1,1,0,0,0,0.9,0.0,5
kanggyuhyuk,0,2,0,0,0,0.9,0.0,4
jeonggeun1,0,1,0,1,0,0.5,0.4,4
lad-blip,0,1,0,0,0,0.5,0.0,2
kyagrd,0,0,0,1,1,0.0,0.8,0
MyeongHyeonCheol,0,0,0,2,1,0.0,1.3,0
kyahnu,0,0,0,2,0,0.0,0.8,0
weeksun02,0,0,0,0,3,0.0,1.3,0
jw21603,0,0,0,0,0,0.0,0.0,0
seojunyong00,0,0,0,0,1,0.0,0.4,0
sun-juu,0,0,0,1,0,0.0,0.4,0
